Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
22.0,M,Some College,60000.0,C,71.0,,5.0,Engineering,Private,Low,Medium,Yes,Medium,High,Low,Positive,Medium,66.0,No,9.0,Balanced,High,4.0,Yes,Positive,,No,Kinesthetic,Yes,No,Low,3.0,Medium,A
22.0,F,Some College,,B,100.0,Medium,18.0,Engineering,Public,Low,High,Yes,High,Low,Low,Negative,Medium,93.0,Yes,7.0,Balanced,Medium,3.0,Yes,Positive,Yes,No,Visual,No,Yes,High,1.0,Low,B
,F,High School,40000.0,A,86.0,High,14.0,Law,Private,Low,Medium,Yes,Low,Low,,Negative,High,77.0,No,6.0,Balanced,Medium,,No,,Yes,Yes,Kinesthetic,Yes,No,Low,5.0,Low,B
18.0,M,Graduate,30000.0,C,76.0,Low,15.0,Law,,High,Medium,No,Low,Medium,High,Neutral,Medium,58.0,Yes,4.0,Healthy,Medium,4.0,Yes,Positive,No,No,Visual,Yes,Yes,Medium,4.0,High,C
,M,Graduate,40000.0,A,96.0,Medium,7.0,Arts,Public,Medium,High,Yes,Low,High,Low,Neutral,,63.0,Yes,8.0,Balanced,Low,9.0,No,,,Yes,Visual,Yes,Yes,High,3.0,Medium,B
,F,Graduate,75000.0,C,94.0,Low,16.0,,Private,Low,Medium,No,High,High,Low,Neutral,,31.0,No,8.0,Unhealthy,High,9.0,No,Negative,No,Yes,Visual,Yes,No,Medium,3.0,Medium,C
19.0,M,,50000.0,A,94.0,Low,16.0,,Private,Medium,Medium,No,Medium,Medium,Low,Negative,Medium,64.0,Yes,9.0,Unhealthy,High,6.0,Yes,Positive,No,No,Visual,No,No,Medium,5.0,Medium,A
18.0,F,Graduate,,A,,Low,16.0,Science,,Low,Medium,Yes,High,Low,Medium,Negative,Medium,,No,6.0,Balanced,Medium,2.0,Yes,Negative,Yes,Yes,Auditory,Yes,No,High,6.0,High,A
21.0,F,,50000.0,A,99.0,Medium,20.0,Science,Private,Low,High,No,Medium,Medium,Low,Neutral,Low,59.0,No,9.0,Balanced,,4.0,Yes,,No,Yes,Visual,Yes,No,Medium,6.0,Medium,B
20.0,F,High School,75000.0,B,98.0,High,8.0,Medicine,Public,Low,Low,No,High,High,,Positive,Low,77.0,Yes,,Healthy,,10.0,,Neutral,Yes,Yes,Kinesthetic,Yes,Yes,,1.0,High,A
22.0,F,College,30000.0,B,89.0,High,9.0,Medicine,Public,Medium,High,Yes,Medium,Medium,,Positive,Low,,Yes,9.0,Balanced,Low,2.0,No,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,4.0,Medium,B
18.0,M,College,40000.0,C,73.0,Low,6.0,,Public,High,High,No,High,Medium,Low,Negative,Low,35.0,No,,Balanced,,,Yes,Positive,No,Yes,Kinesthetic,No,Yes,Low,,Medium,A
19.0,F,,50000.0,B,89.0,Low,6.0,Arts,Public,High,High,Yes,Low,Medium,Low,Negative,Medium,63.0,No,6.0,,Medium,8.0,Yes,Positive,No,No,Auditory,No,,High,2.0,Low,B
21.0,M,Graduate,60000.0,A,94.0,Medium,14.0,Science,Public,Low,,Yes,Low,High,Low,Positive,Medium,98.0,No,8.0,Unhealthy,Medium,6.0,No,Positive,Yes,No,Kinesthetic,No,Yes,High,4.0,Medium,A
20.0,F,High School,60000.0,,76.0,Medium,11.0,Science,,,Medium,No,Medium,High,Medium,Negative,Medium,88.0,Yes,6.0,Balanced,High,10.0,Yes,Negative,No,Yes,Auditory,Yes,No,Low,4.0,Low,C
18.0,M,College,60000.0,,97.0,Medium,13.0,Business,Private,Medium,High,No,High,High,Low,Negative,High,59.0,No,7.0,Healthy,Low,3.0,No,Neutral,Yes,No,Visual,Yes,Yes,High,5.0,High,A
22.0,F,High School,30000.0,A,95.0,High,9.0,,,High,High,Yes,Medium,,High,Negative,High,,No,8.0,Unhealthy,,10.0,Yes,Positive,Yes,Yes,Auditory,No,Yes,High,4.0,High,B
18.0,M,Graduate,50000.0,C,99.0,Medium,7.0,Law,Private,High,Low,,High,Low,High,Neutral,Low,44.0,No,7.0,Balanced,,4.0,,Negative,No,No,,Yes,,Low,4.0,High,C
18.0,M,Some College,40000.0,A,96.0,Low,12.0,Engineering,Public,High,High,Yes,Low,High,Medium,Neutral,Medium,94.0,No,9.0,Unhealthy,High,6.0,No,Positive,,No,Kinesthetic,,No,Low,1.0,Medium,A
21.0,F,High School,60000.0,A,75.0,Medium,10.0,Law,Private,High,Low,No,Low,High,Low,Neutral,High,48.0,No,,Unhealthy,High,2.0,No,Negative,Yes,Yes,Kinesthetic,Yes,No,High,6.0,,A
22.0,M,College,50000.0,A,79.0,High,20.0,Medicine,Public,High,Medium,No,Low,Low,,Neutral,Medium,93.0,Yes,6.0,,,9.0,Yes,Negative,Yes,No,Visual,No,No,Low,6.0,Low,B
18.0,F,Some College,40000.0,B,99.0,Low,14.0,Engineering,Private,Low,,No,,Medium,High,Positive,High,99.0,No,5.0,Unhealthy,High,4.0,Yes,Negative,Yes,Yes,Visual,No,,High,6.0,High,C
19.0,M,Some College,40000.0,,,Low,16.0,Arts,Public,Medium,High,No,Low,,Medium,Negative,Medium,55.0,No,6.0,Healthy,Low,9.0,,Positive,No,Yes,Auditory,No,No,Low,1.0,High,
,M,High School,75000.0,C,95.0,High,9.0,Business,Public,Medium,High,Yes,Medium,Medium,Low,,Low,97.0,No,4.0,Balanced,Medium,3.0,No,Positive,Yes,Yes,Visual,No,No,Low,3.0,Medium,A
18.0,F,Some College,30000.0,B,95.0,High,7.0,,Private,High,Medium,Yes,,High,Low,Neutral,High,85.0,No,4.0,Healthy,High,7.0,Yes,Negative,Yes,Yes,Kinesthetic,No,Yes,Low,,,A
19.0,M,Some College,50000.0,C,88.0,Medium,15.0,Science,Public,Medium,High,No,High,Medium,High,Neutral,Low,62.0,No,6.0,Balanced,Medium,8.0,No,Positive,No,No,Visual,,No,High,3.0,,B
19.0,M,College,40000.0,A,90.0,Low,,Business,Private,Medium,High,Yes,Medium,Low,Medium,Positive,Medium,30.0,No,6.0,,Low,,Yes,Positive,Yes,No,Auditory,No,No,,1.0,Low,C
22.0,F,Some College,75000.0,C,88.0,,10.0,Arts,Private,High,Medium,No,,Medium,High,Negative,,52.0,No,6.0,Unhealthy,High,2.0,No,Neutral,No,Yes,Visual,No,No,Medium,5.0,High,A
,M,High School,,C,88.0,High,9.0,Business,Private,Medium,High,,Low,Low,Medium,Neutral,High,75.0,Yes,4.0,Unhealthy,Medium,8.0,Yes,Neutral,No,No,Visual,,Yes,Low,1.0,High,A
20.0,F,College,50000.0,C,75.0,Low,7.0,Law,Private,Medium,Medium,No,Medium,Medium,Low,Positive,,,Yes,6.0,Unhealthy,Medium,5.0,Yes,Positive,Yes,No,Visual,Yes,No,Low,2.0,High,A
18.0,M,High School,60000.0,A,95.0,Medium,12.0,Business,Public,High,Low,Yes,Medium,Low,,Positive,High,69.0,Yes,,Unhealthy,Low,7.0,No,Neutral,Yes,Yes,Visual,No,Yes,High,5.0,Low,C
20.0,M,College,30000.0,A,74.0,Medium,12.0,,Private,,Medium,No,Low,Low,High,Neutral,Medium,33.0,No,6.0,Balanced,Low,8.0,No,Negative,Yes,Yes,Kinesthetic,Yes,No,Low,5.0,Medium,B
,M,College,75000.0,B,88.0,Low,12.0,Engineering,Private,Medium,High,No,Low,High,Medium,Negative,Low,95.0,Yes,7.0,Balanced,Low,3.0,Yes,Positive,,No,Kinesthetic,Yes,Yes,Low,2.0,Medium,C
22.0,F,Graduate,75000.0,B,99.0,High,10.0,,Private,,Low,No,High,High,Low,Negative,High,82.0,,8.0,Healthy,High,3.0,Yes,Neutral,,No,Visual,Yes,No,Medium,2.0,High,C
21.0,F,High School,60000.0,A,79.0,Low,5.0,Business,Private,Low,Medium,Yes,Low,Medium,Medium,,Medium,92.0,Yes,5.0,Healthy,High,9.0,Yes,Negative,No,Yes,Kinesthetic,Yes,No,Medium,2.0,High,
22.0,F,High School,75000.0,C,87.0,,5.0,Medicine,Public,Medium,,No,High,Low,High,Positive,Medium,64.0,Yes,,Balanced,Low,9.0,Yes,Negative,Yes,Yes,Visual,Yes,Yes,Medium,6.0,,A
20.0,M,Some College,40000.0,A,,Low,20.0,Business,Public,High,Medium,Yes,Medium,Medium,Low,,High,52.0,Yes,6.0,Balanced,Medium,9.0,No,Negative,Yes,,Visual,Yes,No,Low,2.0,Low,C
21.0,M,High School,60000.0,,80.0,High,16.0,Business,Private,,Low,Yes,Low,Medium,Medium,Neutral,Medium,65.0,No,,Unhealthy,Low,8.0,Yes,Positive,No,Yes,Kinesthetic,No,No,High,2.0,High,C
18.0,M,Graduate,75000.0,A,75.0,Low,5.0,Arts,Public,Low,Low,No,Medium,Medium,Medium,Neutral,Medium,20.0,No,7.0,Balanced,Medium,2.0,No,Positive,No,No,Auditory,Yes,No,Medium,,High,B
20.0,F,Graduate,30000.0,A,84.0,Low,16.0,Medicine,Public,Low,Low,Yes,Medium,High,High,Neutral,High,22.0,Yes,7.0,,Low,10.0,Yes,Neutral,No,No,Auditory,Yes,Yes,High,3.0,High,A
19.0,M,Some College,50000.0,B,86.0,High,18.0,Arts,Private,Medium,Medium,No,Medium,High,Low,Neutral,Low,59.0,Yes,4.0,Unhealthy,Medium,9.0,Yes,Positive,Yes,No,Kinesthetic,No,No,Medium,4.0,Medium,C
21.0,M,High School,50000.0,A,82.0,,9.0,Engineering,Public,High,High,No,High,Low,Medium,Positive,High,48.0,Yes,4.0,Balanced,Low,5.0,Yes,Positive,No,,Visual,Yes,Yes,High,1.0,Medium,C
18.0,,High School,75000.0,A,,Medium,20.0,Arts,Public,Medium,Medium,No,High,Low,Medium,Neutral,High,100.0,,7.0,Unhealthy,High,2.0,Yes,Positive,No,Yes,,,No,Medium,,Medium,A
18.0,M,Graduate,60000.0,B,95.0,Medium,12.0,Medicine,Private,Low,High,No,Low,Medium,Medium,Negative,High,62.0,Yes,6.0,Balanced,Low,,No,Negative,Yes,No,,Yes,,High,6.0,High,C
22.0,F,High School,75000.0,,77.0,Medium,13.0,Arts,Public,High,Low,,Medium,High,Medium,Positive,Low,,,9.0,Unhealthy,Medium,4.0,No,,No,No,Kinesthetic,Yes,No,Medium,6.0,Low,B
21.0,M,College,,B,,Low,6.0,Engineering,Private,High,Low,Yes,Low,High,,Negative,High,92.0,No,8.0,,High,8.0,Yes,Neutral,,No,Visual,Yes,No,,1.0,Medium,A
21.0,M,College,75000.0,C,99.0,,8.0,Law,Public,Medium,Low,No,High,High,Medium,,High,53.0,Yes,8.0,Unhealthy,High,5.0,No,Negative,Yes,Yes,Visual,Yes,No,,,Medium,B
21.0,F,Graduate,75000.0,C,93.0,,11.0,,Private,Medium,Low,No,High,,Medium,Negative,Medium,83.0,Yes,,,High,4.0,No,Positive,Yes,No,Visual,No,Yes,Medium,1.0,Medium,B
19.0,M,,,C,71.0,High,15.0,Medicine,Private,High,Low,No,,Low,,Neutral,Low,25.0,No,5.0,Balanced,Low,8.0,No,Negative,Yes,Yes,Kinesthetic,Yes,Yes,High,,High,A
,F,High School,50000.0,B,86.0,Low,19.0,Arts,Public,High,Medium,,High,,Medium,Negative,Medium,21.0,No,5.0,Balanced,,8.0,No,Neutral,No,Yes,Kinesthetic,No,Yes,Low,,Low,A
20.0,F,,40000.0,C,72.0,High,18.0,Business,Public,Low,High,No,Medium,Medium,Medium,Neutral,High,53.0,,4.0,Healthy,Low,5.0,No,Positive,No,Yes,Auditory,Yes,Yes,Low,4.0,High,A
,F,Graduate,60000.0,B,100.0,Medium,5.0,,Private,Medium,,No,,Low,High,Neutral,Medium,84.0,No,4.0,Healthy,High,10.0,No,Neutral,Yes,,Visual,Yes,Yes,Medium,5.0,Low,A
18.0,F,High School,50000.0,B,98.0,High,9.0,Arts,Private,High,Medium,Yes,Low,Medium,Low,Positive,Low,86.0,Yes,7.0,,High,4.0,No,Positive,Yes,Yes,Visual,No,Yes,High,4.0,Low,B
,F,College,75000.0,A,89.0,Low,11.0,Arts,Private,Low,Medium,Yes,Medium,,High,Neutral,,,Yes,4.0,Balanced,Medium,7.0,Yes,Negative,Yes,Yes,Visual,No,No,Low,1.0,Medium,C
19.0,F,College,50000.0,A,98.0,Low,,Arts,Public,Low,Medium,Yes,,,Medium,Neutral,High,97.0,No,8.0,Unhealthy,,7.0,Yes,,No,Yes,Auditory,Yes,No,Low,1.0,High,A
,M,Graduate,30000.0,B,85.0,Low,16.0,Arts,Private,Medium,,Yes,Medium,Medium,Low,,Low,88.0,No,5.0,,Medium,10.0,Yes,Neutral,Yes,No,Visual,No,Yes,Medium,1.0,Low,B
20.0,F,Some College,50000.0,C,88.0,Medium,20.0,Business,Public,High,High,No,Low,Medium,Low,Negative,High,91.0,Yes,6.0,Healthy,Low,7.0,No,Negative,No,Yes,Auditory,Yes,Yes,High,6.0,Low,C
21.0,F,High School,50000.0,B,72.0,,,Medicine,,High,,No,Low,Low,Medium,Neutral,High,53.0,,,Unhealthy,,2.0,Yes,Positive,No,No,Auditory,Yes,Yes,Low,2.0,Low,C
21.0,M,College,40000.0,C,99.0,Low,6.0,Arts,,High,High,Yes,Medium,High,Low,Neutral,High,,Yes,4.0,Healthy,Medium,6.0,No,Positive,Yes,Yes,Visual,No,,High,5.0,Low,C
20.0,F,Graduate,60000.0,A,,Low,19.0,Law,Private,Medium,Low,Yes,High,Low,Medium,Negative,Low,,No,5.0,Healthy,High,7.0,No,Negative,Yes,,Kinesthetic,No,No,High,6.0,Low,A
18.0,M,Graduate,60000.0,C,84.0,Low,20.0,Business,Public,Low,Low,No,Low,Low,Low,Neutral,Medium,69.0,No,,Healthy,Medium,8.0,Yes,Positive,Yes,No,Visual,,No,High,1.0,High,A
21.0,F,Some College,60000.0,A,,Low,9.0,Law,Public,Medium,Low,Yes,Low,High,Medium,,High,67.0,No,,,High,7.0,No,,No,Yes,Kinesthetic,No,No,Medium,3.0,Low,C
19.0,M,High School,75000.0,A,,High,13.0,Business,Private,Medium,Medium,Yes,Low,Low,High,Negative,Low,45.0,Yes,7.0,Balanced,,7.0,,Positive,,,,Yes,Yes,Low,6.0,Low,A
20.0,F,Some College,30000.0,C,75.0,Medium,16.0,Science,Public,High,Low,No,High,High,Medium,Negative,Medium,57.0,No,8.0,Unhealthy,Low,8.0,Yes,Negative,Yes,No,Kinesthetic,No,No,High,2.0,Medium,C
22.0,F,Some College,,A,75.0,Medium,11.0,Law,,,Medium,,Low,High,High,Positive,High,60.0,,9.0,Unhealthy,Medium,6.0,Yes,,Yes,No,Kinesthetic,Yes,Yes,Low,1.0,Medium,B
19.0,M,College,40000.0,A,83.0,High,17.0,Engineering,Public,Medium,Low,No,Low,Low,,Positive,High,41.0,,,Unhealthy,Medium,3.0,No,Positive,Yes,Yes,Kinesthetic,No,No,High,4.0,Low,
21.0,F,Some College,30000.0,C,87.0,Medium,6.0,Business,Public,Medium,,No,Low,Low,High,Negative,Medium,,No,,,,,No,,Yes,No,Visual,,Yes,Low,4.0,High,B
18.0,M,Some College,60000.0,A,85.0,Medium,,Engineering,Private,High,Low,,Medium,Medium,High,Neutral,High,65.0,No,4.0,Healthy,High,10.0,,,Yes,No,Visual,No,Yes,Low,,High,A
21.0,F,College,50000.0,B,99.0,Medium,11.0,,Private,High,Medium,Yes,Medium,Low,Medium,Neutral,High,80.0,Yes,7.0,,Medium,4.0,Yes,Neutral,Yes,Yes,Visual,No,Yes,Medium,6.0,Medium,C
18.0,F,Graduate,75000.0,C,85.0,High,14.0,Arts,Private,Medium,Medium,,Low,Medium,Low,Positive,Low,78.0,Yes,6.0,Balanced,Medium,2.0,No,Neutral,No,No,Visual,No,Yes,Medium,5.0,Medium,C
21.0,F,College,30000.0,C,82.0,High,12.0,Science,Public,Low,,Yes,Medium,High,High,Negative,Medium,83.0,Yes,8.0,Balanced,Medium,4.0,No,Neutral,,Yes,Kinesthetic,No,Yes,High,6.0,Low,A
19.0,M,College,,,70.0,High,10.0,Business,Public,Medium,Low,No,,Medium,Medium,Negative,High,78.0,Yes,,Unhealthy,High,6.0,No,Positive,No,No,Visual,No,Yes,Medium,2.0,,B
21.0,F,High School,60000.0,A,78.0,Low,16.0,Science,Private,High,High,No,High,High,Medium,Neutral,Medium,73.0,No,,Healthy,High,3.0,No,Negative,Yes,No,Kinesthetic,No,No,Low,4.0,High,B
22.0,,Graduate,75000.0,B,91.0,High,8.0,Science,Private,Medium,High,Yes,,Low,Low,Negative,High,75.0,No,8.0,Healthy,High,4.0,No,Negative,,Yes,Auditory,No,No,,,,A
,M,Some College,50000.0,A,90.0,Low,16.0,Law,,High,Medium,No,Low,High,High,Positive,Medium,45.0,Yes,6.0,Unhealthy,High,4.0,Yes,Negative,Yes,No,Kinesthetic,No,Yes,High,3.0,High,A
21.0,F,Graduate,40000.0,,98.0,Low,,Law,,High,Low,,High,,,Positive,Medium,70.0,,,Balanced,Medium,9.0,No,Negative,Yes,Yes,Auditory,No,,Medium,6.0,Low,B
18.0,M,,50000.0,B,87.0,High,8.0,Law,Public,Medium,Low,No,Low,Low,Medium,Positive,High,45.0,Yes,9.0,Balanced,High,4.0,Yes,Positive,No,No,Visual,No,No,Medium,1.0,Medium,A
18.0,F,Graduate,75000.0,C,81.0,High,13.0,Medicine,Private,Medium,High,Yes,Low,Low,High,Negative,High,97.0,Yes,5.0,Balanced,Low,4.0,No,Positive,No,Yes,Auditory,No,Yes,Low,4.0,,A
21.0,F,College,60000.0,C,90.0,Medium,,Business,Public,High,Medium,Yes,High,Low,High,Negative,,77.0,No,6.0,,Low,10.0,Yes,Negative,No,Yes,Auditory,No,No,Medium,,High,
22.0,M,Some College,30000.0,C,94.0,High,9.0,Business,Private,Medium,Low,Yes,Medium,Medium,,Neutral,Medium,34.0,No,,Balanced,Medium,10.0,Yes,Negative,Yes,No,Visual,,,Medium,4.0,Low,C
20.0,M,College,50000.0,B,79.0,Medium,11.0,Law,Private,Medium,Medium,Yes,High,Low,,Positive,,51.0,Yes,4.0,Balanced,Medium,,No,Neutral,No,,Kinesthetic,,No,Low,5.0,Low,C
21.0,M,High School,50000.0,B,81.0,Medium,12.0,Engineering,,,Medium,Yes,,Low,Low,Negative,High,,No,8.0,Unhealthy,Medium,,No,Negative,No,Yes,Kinesthetic,Yes,No,Low,6.0,Low,C
21.0,M,Graduate,60000.0,B,87.0,High,10.0,Engineering,Public,High,Medium,No,Low,Medium,Medium,Neutral,Low,55.0,No,8.0,Unhealthy,High,9.0,No,Neutral,Yes,No,Kinesthetic,Yes,Yes,Low,1.0,Medium,C
18.0,M,Some College,40000.0,C,75.0,Low,10.0,Engineering,Private,Medium,Medium,Yes,Low,Medium,High,Positive,Medium,28.0,Yes,4.0,Healthy,High,7.0,Yes,,No,No,Kinesthetic,Yes,Yes,Low,5.0,Low,
,F,College,60000.0,A,76.0,,13.0,Science,Public,Medium,Medium,,Low,High,Medium,Neutral,Low,37.0,Yes,,Healthy,,10.0,,Neutral,,No,Visual,No,No,Medium,4.0,Low,A
19.0,F,Graduate,40000.0,C,74.0,Medium,19.0,,Public,High,Medium,No,Medium,Medium,Low,Neutral,Low,,No,9.0,Unhealthy,Low,9.0,Yes,Positive,Yes,No,Kinesthetic,No,Yes,Medium,1.0,High,B
21.0,F,Graduate,40000.0,B,78.0,Medium,19.0,Law,Public,Low,Medium,No,Low,Low,Medium,Positive,High,98.0,Yes,,Unhealthy,High,5.0,No,Neutral,Yes,No,Kinesthetic,,Yes,Low,1.0,Low,B
19.0,F,College,,A,98.0,Medium,11.0,Medicine,,Low,Low,Yes,,High,Medium,Neutral,Low,87.0,No,4.0,Unhealthy,High,9.0,Yes,Positive,Yes,No,Kinesthetic,Yes,Yes,High,6.0,Low,A
20.0,M,High School,75000.0,A,75.0,,6.0,Medicine,Public,Medium,Low,No,,Low,High,Negative,High,93.0,No,9.0,Balanced,High,8.0,No,Negative,Yes,No,Auditory,Yes,,Low,4.0,Low,B
,,Some College,,C,97.0,High,,Engineering,Public,,Low,Yes,Low,Medium,High,Neutral,,36.0,No,9.0,Unhealthy,Medium,5.0,No,Positive,,Yes,Auditory,Yes,No,Low,4.0,,A
18.0,M,,30000.0,B,93.0,,14.0,Arts,Public,Medium,Medium,Yes,Low,High,High,Negative,Medium,58.0,No,4.0,,High,2.0,,Negative,,No,Auditory,No,No,Low,,High,C
18.0,F,College,30000.0,C,71.0,Low,10.0,Law,,High,Medium,No,Low,Low,Low,Neutral,High,81.0,No,9.0,Balanced,High,,Yes,Negative,No,,Auditory,No,No,,6.0,,C
22.0,F,High School,,B,77.0,Medium,19.0,Business,Public,Medium,High,Yes,,Low,High,Neutral,,,Yes,6.0,,High,8.0,Yes,Neutral,No,,Auditory,No,Yes,Medium,,High,C
22.0,F,High School,50000.0,A,91.0,Low,15.0,Engineering,Public,Low,Low,Yes,Medium,High,,Negative,High,,No,9.0,Healthy,Low,3.0,No,Positive,No,Yes,Auditory,Yes,No,High,,High,B
19.0,F,Some College,75000.0,C,70.0,Medium,8.0,Business,Public,,High,,Medium,Low,Low,Negative,Medium,86.0,Yes,5.0,Unhealthy,,3.0,Yes,Positive,No,Yes,Visual,Yes,Yes,Medium,3.0,Medium,B
19.0,M,High School,50000.0,B,75.0,Medium,11.0,Law,Public,Low,Low,No,High,Low,Medium,Positive,Low,47.0,No,9.0,Unhealthy,High,4.0,No,Positive,No,No,Kinesthetic,No,Yes,Medium,5.0,,B
22.0,F,College,40000.0,C,78.0,Low,,Arts,Public,Low,High,No,Low,High,,Positive,High,,No,,Unhealthy,High,8.0,,Neutral,,No,Auditory,Yes,Yes,Medium,6.0,High,
20.0,F,Some College,30000.0,B,75.0,High,12.0,Arts,Private,High,Medium,No,,Medium,High,,Low,53.0,No,4.0,Healthy,Medium,4.0,Yes,Neutral,Yes,No,Auditory,Yes,No,Medium,3.0,Low,A
18.0,F,,,A,,,8.0,Business,Public,,Medium,Yes,Medium,Low,High,Negative,Medium,60.0,No,9.0,Healthy,High,9.0,No,Positive,Yes,Yes,Auditory,No,No,Low,2.0,High,B
20.0,F,High School,75000.0,C,,Medium,5.0,Medicine,Private,Low,,Yes,High,High,Low,Negative,Low,91.0,Yes,7.0,Healthy,Medium,,Yes,Neutral,Yes,Yes,Visual,Yes,Yes,Medium,5.0,Low,B
18.0,M,College,50000.0,C,97.0,,5.0,Science,Private,,High,No,Medium,High,Low,Negative,Low,,No,7.0,Balanced,High,8.0,No,Positive,No,No,,No,Yes,High,2.0,High,B
,,High School,60000.0,,76.0,Medium,12.0,Business,Public,High,Medium,Yes,Low,Medium,Medium,Negative,Low,50.0,No,6.0,Healthy,High,10.0,,Neutral,No,Yes,Auditory,Yes,Yes,High,5.0,Medium,C
18.0,M,College,40000.0,C,100.0,High,12.0,Medicine,Public,Medium,Medium,Yes,Low,,High,Negative,High,33.0,Yes,8.0,,High,5.0,No,Positive,,Yes,Kinesthetic,Yes,No,High,,Low,A
21.0,,High School,40000.0,C,91.0,Low,9.0,,Private,Low,Low,Yes,High,High,Low,Positive,High,36.0,Yes,6.0,Healthy,Medium,9.0,Yes,Negative,Yes,,Kinesthetic,Yes,,Medium,5.0,Medium,B
22.0,,,50000.0,C,100.0,Medium,9.0,Business,Public,Low,,No,Low,High,,Negative,Low,27.0,Yes,6.0,,High,7.0,No,Negative,No,No,Kinesthetic,Yes,No,Low,3.0,High,B
19.0,M,High School,50000.0,A,98.0,High,18.0,Law,Public,High,High,Yes,Low,High,Medium,Negative,High,,No,,Balanced,Medium,2.0,No,Neutral,Yes,No,Auditory,Yes,Yes,High,6.0,Medium,C
,F,High School,50000.0,A,74.0,Medium,,Business,Public,High,High,Yes,Medium,Medium,Low,Negative,,,Yes,9.0,Healthy,Medium,,No,Negative,,Yes,Visual,Yes,Yes,High,6.0,Medium,C
22.0,M,High School,30000.0,A,70.0,,8.0,Law,Private,Low,Low,No,Low,Medium,Low,Negative,Low,51.0,,,Balanced,Medium,,Yes,Positive,Yes,Yes,Auditory,,No,High,5.0,,B
21.0,M,High School,50000.0,B,98.0,Medium,11.0,Science,Public,Medium,High,No,High,Low,Medium,Neutral,High,66.0,No,,Unhealthy,Medium,8.0,No,Neutral,No,Yes,Kinesthetic,Yes,No,Low,,High,B
20.0,M,Graduate,40000.0,C,71.0,High,13.0,Arts,Public,Low,Medium,Yes,Medium,Medium,Medium,Negative,High,45.0,No,4.0,Healthy,Low,8.0,No,Positive,No,No,Auditory,No,No,Low,4.0,Low,A
20.0,M,Some College,60000.0,B,74.0,Low,15.0,Business,Public,Low,Low,,Low,High,Low,Neutral,High,34.0,Yes,,Balanced,Medium,5.0,Yes,Negative,No,Yes,Kinesthetic,No,Yes,,2.0,,C
18.0,,High School,40000.0,A,81.0,Medium,10.0,Business,Public,Low,Low,Yes,Medium,Low,High,Negative,High,47.0,No,8.0,Unhealthy,Medium,3.0,No,Positive,No,No,Kinesthetic,Yes,No,Low,6.0,High,A
18.0,,Some College,,B,75.0,Medium,11.0,Engineering,Private,Medium,Medium,No,High,Medium,Medium,Positive,Medium,52.0,No,6.0,Balanced,Medium,5.0,No,Neutral,Yes,Yes,Visual,Yes,No,Low,1.0,Medium,C
21.0,M,High School,60000.0,A,98.0,High,17.0,Arts,Private,Low,Low,Yes,,High,Medium,Neutral,,68.0,Yes,4.0,Healthy,Low,5.0,Yes,Negative,No,No,Auditory,Yes,Yes,Medium,3.0,High,A
,F,College,40000.0,B,80.0,High,20.0,,Private,High,High,No,High,High,High,,Low,61.0,No,6.0,Unhealthy,Low,4.0,Yes,Negative,No,No,Visual,Yes,Yes,Medium,4.0,Medium,A
19.0,M,High School,,A,81.0,Low,15.0,,Public,High,Medium,No,High,High,Low,,High,58.0,No,5.0,,High,4.0,No,Positive,Yes,Yes,Auditory,No,No,Medium,2.0,High,A
19.0,M,High School,75000.0,C,90.0,Low,5.0,Business,Private,Medium,High,No,High,High,Low,,High,95.0,,,Healthy,Low,9.0,Yes,Negative,Yes,,Visual,No,No,Medium,2.0,Low,A
21.0,F,High School,75000.0,C,72.0,,19.0,Law,Private,Low,High,Yes,Low,Medium,Medium,Neutral,Medium,51.0,No,6.0,,Low,6.0,Yes,Neutral,Yes,No,Visual,No,No,Medium,,Medium,A
22.0,F,High School,75000.0,B,77.0,Medium,8.0,Arts,Public,High,Medium,Yes,,Medium,,Negative,Medium,62.0,No,9.0,Healthy,High,3.0,,Negative,Yes,No,Auditory,Yes,No,Medium,6.0,High,A
18.0,F,Graduate,50000.0,A,85.0,High,12.0,Business,Public,High,High,No,High,Medium,Low,Neutral,Low,67.0,No,,Balanced,Medium,,No,Negative,No,No,Auditory,No,Yes,Medium,6.0,High,C
21.0,F,Graduate,40000.0,B,70.0,Medium,20.0,Law,Public,Low,Low,Yes,,Medium,Medium,Negative,Low,64.0,No,6.0,Balanced,High,6.0,Yes,Negative,No,Yes,,Yes,No,Low,6.0,Medium,
22.0,M,High School,60000.0,B,88.0,Low,13.0,Business,Public,Low,Medium,No,Medium,Medium,High,Negative,Low,54.0,No,5.0,Unhealthy,High,7.0,Yes,Positive,No,Yes,Auditory,,No,Low,1.0,Low,
20.0,M,Graduate,75000.0,A,78.0,Low,15.0,,Private,,High,No,Medium,,Low,Negative,,39.0,No,9.0,Healthy,High,3.0,No,Neutral,No,Yes,Kinesthetic,Yes,No,Medium,5.0,High,A
