Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,stream,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
18,M,Some College,50000,B,73,Medium,,Engineering,Private,Low,,No,Medium,Low,Medium,,High,83,No,7,Unhealthy,Low,4,Yes,Positive,No,Yes,Visual,Yes,No,Low,6,Medium,B
22,F,Graduate,30000,B,79,Medium,13,Science,Private,High,High,No,High,Low,Low,Negative,,80,No,5,Unhealthy,Low,3,No,Neutral,Yes,No,Auditory,No,No,High,2,Low,A
22,F,Some College,30000,C,,Low,10,,Private,High,Medium,,High,Low,Medium,Negative,Medium,51,No,8,Balanced,High,2,Yes,Neutral,No,Yes,Auditory,Yes,No,Low,3,Low,C
21,F,High School,30000,C,82,Medium,8,Medicine,,Low,,Yes,High,Medium,Low,Negative,High,,No,8,Unhealthy,High,5,Yes,Neutral,Yes,Yes,,Yes,,Medium,1,Medium,B
18,M,Graduate,40000,,73,High,15,Medicine,Public,Medium,High,,Low,Medium,Low,,Medium,56,Yes,6,Unhealthy,High,6,Yes,Negative,No,No,Visual,No,Yes,Low,3,Low,A
21,M,Some College,40000,A,82,Medium,20,Business,Public,,Medium,Yes,Low,Low,Medium,Neutral,High,73,Yes,5,Unhealthy,High,8,Yes,Positive,Yes,No,Kinesthetic,Yes,Yes,Medium,,Medium,B
21,M,Graduate,60000,C,79,High,18,Law,Public,Low,Medium,,High,High,Medium,Neutral,Medium,53,No,9,Balanced,High,4,No,Positive,No,Yes,Visual,Yes,No,,5,Medium,A
21,,Some College,75000,A,99,,15,Engineering,Private,Medium,High,No,High,Medium,High,,Medium,69,No,8,Unhealthy,High,9,Yes,Positive,No,No,Auditory,No,No,Medium,,High,B
22,F,Some College,30000,C,90,Medium,12,Law,Private,High,,Yes,High,Low,Medium,Positive,Medium,,No,9,Healthy,High,3,Yes,Negative,Yes,,Visual,No,Yes,Low,,Medium,B
20,F,Graduate,,B,77,,9,Law,Private,Low,Low,No,Medium,High,Low,Neutral,Low,23,Yes,4,Unhealthy,Low,4,No,Neutral,No,No,Auditory,Yes,Yes,Medium,4,Medium,A
21,M,Graduate,60000,B,76,Medium,11,Law,Public,Low,High,No,High,Low,Low,,,45,Yes,5,Unhealthy,Medium,10,,Neutral,Yes,No,Visual,No,No,Medium,,High,
19,F,,30000,B,79,High,6,Arts,Public,High,Low,No,Medium,High,Medium,Negative,Low,60,No,8,Healthy,Medium,10,No,Neutral,No,Yes,Kinesthetic,Yes,No,,6,Medium,C
22,F,Some College,40000,C,99,Low,5,Engineering,Public,Low,High,Yes,High,,,Neutral,Medium,69,,9,Unhealthy,Low,4,No,,No,No,Auditory,No,No,High,6,High,
20,,Some College,40000,B,96,,10,Medicine,Private,Medium,Medium,Yes,,Low,High,,Low,59,No,7,Healthy,Medium,,,Neutral,Yes,Yes,Kinesthetic,No,No,Medium,,Medium,C
,M,Graduate,75000,A,90,High,19,Engineering,Public,Medium,Medium,Yes,High,High,Low,Neutral,Low,,No,,Unhealthy,Medium,2,Yes,Positive,,,Kinesthetic,No,No,,3,High,C
22,F,College,,C,79,High,7,Engineering,Public,Low,High,Yes,Medium,,Medium,Negative,Medium,69,No,8,Balanced,High,,No,Neutral,No,Yes,Auditory,Yes,No,Medium,2,High,C
18,F,Graduate,40000,B,91,High,20,Business,Private,Low,High,Yes,Medium,Medium,,Neutral,Medium,94,No,8,Unhealthy,,9,Yes,Negative,Yes,Yes,Visual,No,No,High,5,,A
18,M,Graduate,50000,C,77,High,16,,Private,Low,High,,High,Medium,Medium,,Medium,,No,7,Healthy,High,5,No,Positive,Yes,Yes,Visual,No,Yes,High,4,,B
21,M,College,40000,C,92,Low,11,Science,Public,Low,Medium,No,High,High,Low,Neutral,Medium,73,Yes,4,Healthy,High,10,No,Neutral,Yes,Yes,Visual,Yes,Yes,Low,5,Medium,C
22,M,Some College,40000,B,80,Medium,20,Medicine,Public,Low,Medium,Yes,Medium,Low,Low,Neutral,Low,68,No,7,Balanced,Low,3,Yes,Positive,Yes,No,Auditory,No,No,Low,5,High,A
19,F,Graduate,75000,C,75,Low,10,Science,,High,Medium,No,Medium,Medium,High,Neutral,Low,81,No,5,Unhealthy,Medium,9,No,Positive,Yes,Yes,,Yes,No,High,4,High,B
21,F,Some College,30000,B,76,Low,,Medicine,Public,High,Low,Yes,Low,Low,Medium,Neutral,Medium,93,Yes,8,Unhealthy,Low,7,No,Neutral,No,No,Kinesthetic,No,,,1,Medium,B
21,M,Graduate,60000,A,85,Low,18,Arts,Private,Low,High,No,Low,,Low,Negative,Low,66,No,,Unhealthy,Low,,No,Neutral,No,Yes,Visual,No,No,High,1,High,C
21,,College,30000,B,79,High,12,Arts,Private,,Medium,Yes,High,High,Medium,Positive,High,22,No,7,Healthy,,10,No,Neutral,,No,Kinesthetic,Yes,,Low,2,Low,C
22,M,Some College,60000,B,87,Low,8,Business,Public,High,High,,Low,High,,Neutral,Low,22,Yes,5,Balanced,High,2,Yes,Positive,Yes,No,Auditory,No,Yes,High,6,Medium,B
19,F,High School,50000,A,80,Low,19,Business,Private,Low,High,No,High,High,,Positive,Medium,,No,8,Balanced,Medium,9,No,Negative,Yes,Yes,Visual,No,Yes,,4,Medium,A
22,M,College,75000,B,84,Medium,16,Law,Private,Medium,Low,,,Medium,High,Negative,Low,,Yes,9,Healthy,Medium,7,No,Negative,No,No,Auditory,No,No,Low,4,Medium,A
21,M,Graduate,50000,C,96,Medium,15,Engineering,Public,Low,Low,Yes,Low,,High,Positive,Low,90,Yes,4,Healthy,Low,6,No,Negative,No,,Visual,,No,Medium,,High,A
19,M,High School,30000,A,73,High,19,Medicine,Private,High,Medium,Yes,Low,Medium,,Negative,Medium,29,Yes,9,Healthy,High,8,No,Positive,,Yes,Kinesthetic,Yes,Yes,Medium,4,Low,B
20,M,College,,,73,Medium,14,Arts,Public,,,Yes,Low,High,High,Negative,Medium,41,Yes,,Unhealthy,Low,7,No,Positive,Yes,,Kinesthetic,Yes,Yes,,2,Medium,B
22,F,Some College,75000,C,,Medium,11,Medicine,Public,High,Medium,Yes,Low,Low,Medium,Positive,Medium,54,Yes,8,Balanced,,7,No,Negative,Yes,No,Auditory,No,Yes,High,,Medium,C
18,F,Graduate,50000,C,,High,14,,Public,,High,Yes,High,Low,High,Positive,Medium,36,,8,Healthy,Low,6,No,Negative,No,Yes,Visual,No,Yes,Low,3,Medium,A
20,F,High School,75000,B,94,Medium,12,Engineering,Public,Low,,Yes,High,Medium,Low,,Medium,53,No,9,Healthy,Medium,8,No,Negative,No,Yes,Visual,,Yes,Medium,,Low,B
,M,Graduate,50000,A,83,Medium,,Medicine,Private,Low,Low,No,High,Medium,Medium,Positive,High,97,No,,Unhealthy,High,10,No,Positive,No,Yes,Visual,Yes,Yes,Low,,Medium,
18,F,,60000,B,73,Medium,17,Engineering,Private,High,High,,High,Medium,Low,,Medium,50,,9,Unhealthy,Low,,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,High,3,High,B
21,F,Some College,75000,A,84,Low,11,Law,Public,,Low,Yes,Low,Low,Low,Neutral,Medium,77,No,6,Balanced,High,9,No,Neutral,No,Yes,Auditory,Yes,Yes,Low,1,Medium,C
22,M,Graduate,40000,A,93,,20,Law,,High,Medium,No,High,High,Low,Negative,Low,97,,5,Balanced,High,7,No,Positive,No,Yes,Kinesthetic,No,No,Medium,3,Medium,A
21,M,College,75000,A,85,Low,16,Law,Private,Medium,Low,No,Medium,,Medium,Positive,High,58,No,8,Unhealthy,,10,Yes,,No,,Visual,Yes,No,Low,3,,B
22,F,,75000,B,98,Medium,17,Medicine,Private,High,Low,,High,Medium,,Neutral,,,Yes,4,Healthy,Medium,8,No,Positive,No,No,Kinesthetic,Yes,,High,1,High,A
22,M,High School,60000,B,97,High,17,Arts,Private,Low,Low,Yes,Medium,Medium,High,Neutral,Low,71,No,,Unhealthy,Medium,9,No,Negative,No,Yes,Kinesthetic,Yes,Yes,,5,Medium,A
21,M,High School,75000,,82,Low,7,Medicine,Private,Medium,Low,Yes,Low,High,Medium,Neutral,,67,Yes,6,Balanced,High,7,Yes,Negative,Yes,No,Kinesthetic,No,No,Medium,3,Low,C
18,M,Graduate,40000,C,95,High,18,Medicine,Public,Low,Medium,,Low,Medium,Medium,,High,41,Yes,4,Healthy,Medium,8,Yes,Negative,Yes,No,Kinesthetic,No,No,High,4,Low,C
21,F,Graduate,40000,B,86,High,12,Medicine,Private,High,Low,Yes,High,Low,Medium,Positive,Medium,100,Yes,8,Healthy,Low,9,Yes,Neutral,Yes,Yes,Kinesthetic,No,No,High,4,Low,A
21,F,,75000,B,99,High,,Engineering,Public,High,Low,Yes,Low,Low,Medium,Negative,High,75,Yes,4,Balanced,Low,2,Yes,,No,,Kinesthetic,Yes,No,High,6,High,A
22,F,,50000,B,97,,20,,Private,High,Low,Yes,Medium,Low,High,Neutral,High,26,,9,Unhealthy,,10,Yes,Positive,No,No,Kinesthetic,No,Yes,High,1,High,B
18,,Some College,40000,A,100,Low,20,Business,Public,Low,,No,,Low,High,Negative,Low,82,Yes,9,Unhealthy,High,5,,Neutral,No,,Auditory,No,Yes,Low,1,Low,C
,M,High School,60000,B,91,Low,16,,Private,,Medium,Yes,Medium,Medium,Medium,Neutral,High,99,No,5,Healthy,High,3,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,Low,5,Medium,B
,M,College,75000,C,85,Low,14,Business,Public,Low,High,No,Low,High,Low,Negative,High,54,Yes,9,Balanced,Medium,3,No,Neutral,Yes,No,Auditory,No,No,Medium,2,High,A
,,Graduate,40000,A,99,High,11,,Private,High,Low,Yes,Low,Low,Low,Neutral,High,56,No,,Unhealthy,Medium,2,,Positive,No,No,Kinesthetic,No,Yes,Medium,2,High,B
19,F,Some College,75000,A,85,Medium,8,Arts,Private,,,No,Medium,Low,Medium,Positive,High,52,No,5,Healthy,Medium,3,Yes,Neutral,Yes,No,Visual,No,No,Low,,High,A
21,F,High School,75000,C,76,Low,14,Engineering,Private,Low,Medium,No,Low,Medium,,Positive,Low,89,No,5,Balanced,Low,5,Yes,Neutral,No,Yes,Kinesthetic,No,No,Low,1,Low,A
22,M,College,75000,B,70,Low,10,,Public,High,Medium,No,Medium,High,Medium,Negative,Medium,78,No,9,Unhealthy,Medium,,Yes,Neutral,Yes,,Auditory,Yes,No,Low,6,Medium,B
21,F,Some College,30000,B,86,,13,Engineering,Private,Medium,Medium,,Low,Low,Low,,Low,60,Yes,5,Healthy,High,7,No,Neutral,Yes,No,Kinesthetic,No,No,Low,4,Low,A
21,M,College,75000,B,73,High,15,Medicine,Private,High,Medium,Yes,High,Low,Medium,,High,20,No,6,,,,Yes,Positive,No,Yes,Visual,No,Yes,,1,High,B
,M,High School,30000,A,84,Low,7,Science,Private,High,,Yes,Medium,Low,Low,Negative,Low,72,No,5,Unhealthy,Medium,5,No,Positive,Yes,No,Visual,Yes,,Medium,3,Low,C
22,F,Graduate,75000,A,82,Medium,18,Law,Public,High,,Yes,,Low,Low,Neutral,Medium,39,No,9,Unhealthy,High,9,Yes,Negative,No,No,Kinesthetic,No,Yes,Medium,3,High,A
21,F,Some College,30000,B,71,Low,14,Arts,Public,High,Medium,Yes,Medium,High,High,Neutral,High,97,Yes,9,Unhealthy,,2,Yes,Negative,Yes,,Visual,No,Yes,,,High,A
20,,College,60000,A,94,Low,18,Business,Public,Low,High,No,High,High,Medium,Negative,High,28,No,9,Unhealthy,High,6,,Positive,No,No,Auditory,No,,High,5,Low,
20,F,College,75000,C,,Low,,,Private,Low,Low,No,Low,High,Medium,Neutral,Low,64,No,4,,Medium,8,No,Positive,No,No,Kinesthetic,No,Yes,High,6,High,
18,M,High School,,B,,High,,Science,Private,,Low,Yes,Low,High,Medium,Positive,,89,Yes,8,Balanced,Low,4,No,Positive,Yes,,Auditory,Yes,No,Low,1,Medium,B
19,F,Graduate,50000,B,70,Low,15,Arts,Private,Medium,Medium,Yes,,Low,Medium,Neutral,Medium,49,Yes,5,Healthy,Medium,9,Yes,,,Yes,Kinesthetic,No,No,Low,3,Low,B
21,M,High School,30000,C,90,High,,Science,Public,Medium,Low,Yes,Medium,Low,Medium,Negative,Low,67,No,4,Unhealthy,High,2,No,Positive,Yes,No,,No,No,Low,5,,A
19,M,College,30000,A,,High,13,Science,Public,High,Medium,No,Medium,Low,High,Negative,High,39,Yes,,Balanced,Low,9,No,Neutral,Yes,Yes,Auditory,,Yes,High,2,Low,A
18,M,High School,75000,A,84,High,11,Business,Public,High,Low,,Low,Medium,High,Negative,High,92,No,8,Unhealthy,Low,9,No,,No,No,Kinesthetic,No,Yes,High,5,Low,A
,M,High School,30000,A,85,Medium,12,Science,Private,High,Low,,Low,Medium,Low,Negative,Low,44,Yes,7,Unhealthy,Low,9,No,Neutral,No,No,Visual,Yes,Yes,,3,Low,C
20,F,Some College,60000,A,93,High,7,Business,Private,High,Low,Yes,Medium,High,,,Low,56,No,5,Balanced,,7,Yes,Negative,Yes,Yes,Visual,No,,Medium,3,High,C
21,F,College,75000,B,94,Low,15,Medicine,Public,Low,Low,No,Low,Low,High,Neutral,,88,,5,Balanced,,2,,Positive,Yes,Yes,Kinesthetic,Yes,,Medium,3,Low,A
22,F,College,50000,A,75,,16,Engineering,,,High,No,Medium,Medium,Low,Neutral,High,50,Yes,5,Healthy,High,6,,Negative,No,Yes,Auditory,Yes,Yes,High,,Low,A
22,M,College,60000,C,,High,12,Business,Public,,High,No,High,,High,Neutral,Medium,89,Yes,5,Balanced,Medium,8,,Negative,Yes,No,Auditory,No,Yes,Medium,6,Low,B
22,F,College,50000,B,,Medium,19,Arts,Public,High,High,Yes,Low,Medium,Low,Positive,Medium,67,,5,Balanced,Medium,3,Yes,Neutral,No,Yes,Visual,Yes,,High,6,Low,B
22,F,College,50000,A,77,High,12,Engineering,Private,Medium,,No,High,Low,Medium,Positive,Medium,22,Yes,8,Healthy,,10,No,Positive,No,Yes,Kinesthetic,No,Yes,Low,4,Low,C
18,M,,50000,C,98,High,11,Medicine,Public,High,High,No,Medium,Medium,,Negative,Medium,21,No,9,Healthy,High,4,Yes,,No,Yes,Kinesthetic,Yes,No,High,6,Medium,A
18,,Graduate,60000,B,70,,15,Law,Private,Low,High,Yes,Low,Low,Low,Neutral,High,92,No,4,Balanced,Low,2,Yes,Neutral,Yes,Yes,Auditory,,No,Medium,6,High,A
20,F,Graduate,50000,C,79,Medium,19,Arts,Private,High,Low,No,High,Medium,Medium,,Medium,91,No,,Unhealthy,Medium,7,Yes,Negative,Yes,Yes,Visual,No,Yes,Low,6,High,B
21,M,High School,60000,A,100,High,10,Science,Private,Medium,Medium,Yes,Low,Low,Medium,Neutral,Low,,No,5,Balanced,,8,Yes,Negative,No,Yes,Visual,,Yes,Medium,4,High,B
22,F,Some College,60000,B,97,Medium,13,Business,Private,High,Low,Yes,High,Low,Medium,Negative,Low,47,No,4,Unhealthy,Low,,No,Positive,,Yes,Kinesthetic,Yes,Yes,High,,High,A
22,F,High School,60000,B,90,Low,18,Science,Public,High,High,Yes,Low,Low,,Positive,Medium,62,Yes,9,Healthy,Low,6,Yes,Negative,No,No,Auditory,Yes,No,Medium,2,Low,
18,M,Graduate,,B,93,Low,15,,Public,Medium,Low,Yes,Medium,Low,Low,Positive,Medium,82,Yes,9,Balanced,High,2,Yes,Positive,Yes,Yes,Visual,No,Yes,Low,,High,B
22,F,High School,50000,B,98,Low,15,Medicine,Private,,Low,Yes,High,,Medium,Positive,High,38,Yes,9,Balanced,,8,No,Neutral,No,No,Auditory,Yes,Yes,Medium,6,Medium,C
22,M,Some College,75000,C,75,Low,15,,Public,High,High,,Medium,Low,,Negative,High,22,Yes,8,Unhealthy,Low,2,Yes,Neutral,,Yes,Kinesthetic,Yes,No,High,2,Low,A
18,F,High School,,A,98,High,18,Law,Public,Medium,Medium,No,High,High,Low,Positive,High,32,No,9,Balanced,High,10,No,Positive,No,Yes,Visual,,Yes,High,5,Medium,A
18,M,Some College,50000,A,81,,11,Business,Private,,High,Yes,,Low,Low,Positive,High,,Yes,4,Balanced,Medium,2,Yes,Positive,No,,Auditory,Yes,Yes,Medium,,Medium,C
20,M,High School,40000,A,,High,17,Arts,Public,Low,Low,No,High,High,High,Positive,Medium,64,Yes,8,Balanced,Medium,,Yes,Positive,No,Yes,Kinesthetic,Yes,Yes,Low,6,High,C
18,F,High School,60000,C,74,Medium,19,Science,Public,Low,Medium,No,Low,High,Low,Neutral,Low,78,Yes,,Healthy,High,4,Yes,Neutral,No,No,Visual,No,Yes,Medium,5,Medium,C
20,F,Some College,30000,B,74,Medium,18,Science,Private,Low,High,Yes,High,Low,Low,Negative,Medium,25,Yes,9,Healthy,Low,9,No,Neutral,Yes,Yes,Kinesthetic,Yes,,High,5,Medium,A
19,M,High School,60000,C,86,Low,16,Arts,Private,High,,No,Low,Low,Low,Negative,High,51,Yes,5,Balanced,Low,2,Yes,Negative,No,Yes,Auditory,Yes,,Medium,6,Low,B
18,F,Graduate,,C,74,Low,8,Law,Private,Low,High,Yes,High,High,High,Positive,Low,63,No,5,Unhealthy,Medium,2,Yes,Negative,No,,Auditory,No,No,Low,6,High,B
20,F,Some College,,A,88,High,16,Science,Public,Low,Medium,Yes,Low,High,High,Neutral,Medium,78,Yes,9,Unhealthy,Low,4,Yes,Negative,,Yes,Auditory,Yes,Yes,High,6,Medium,C
22,F,Some College,75000,A,83,Low,13,Engineering,Private,Low,Medium,No,Low,Medium,Medium,Negative,,96,Yes,8,Balanced,,7,No,,No,No,Visual,Yes,Yes,Medium,3,Low,A
21,M,Graduate,30000,B,87,Medium,14,Arts,,High,Low,Yes,Low,,Low,Positive,High,44,Yes,5,Unhealthy,,10,No,Negative,No,Yes,,No,,Medium,3,Low,B
21,M,Graduate,75000,A,,High,14,Business,Public,High,High,,Low,Medium,Low,Positive,Medium,34,,6,Unhealthy,Medium,3,Yes,Negative,Yes,Yes,Kinesthetic,No,No,Medium,6,Low,A
19,,High School,40000,C,94,Medium,15,Arts,Private,Low,Low,Yes,High,Medium,High,Positive,Low,33,,7,Balanced,High,10,Yes,Positive,No,No,Kinesthetic,,Yes,,3,Medium,C
,M,High School,75000,B,71,Medium,7,Law,Private,Medium,High,Yes,High,High,Low,Neutral,High,26,Yes,5,Unhealthy,Low,4,No,Negative,Yes,No,Kinesthetic,No,No,Medium,3,Low,
19,F,Graduate,75000,B,71,High,16,Law,Public,High,Low,No,Low,High,Low,Negative,High,29,Yes,4,Unhealthy,High,10,No,Negative,No,Yes,Visual,Yes,Yes,Low,2,High,B
18,F,College,40000,A,77,Low,,Law,,Medium,High,No,Medium,Low,Medium,Negative,Low,41,Yes,5,,Low,2,Yes,Negative,No,No,Visual,Yes,Yes,Low,2,Medium,
18,F,Some College,60000,B,90,Medium,6,Arts,Public,Medium,Low,No,High,,Low,Neutral,,25,Yes,9,Healthy,Low,,No,Neutral,No,No,Kinesthetic,Yes,Yes,Medium,2,Medium,B
20,M,Graduate,60000,,81,Low,8,Medicine,Public,Medium,,Yes,,Medium,Low,,High,81,No,,Unhealthy,Medium,10,No,Neutral,Yes,Yes,Visual,No,Yes,Low,3,High,C
20,M,Graduate,40000,C,91,Low,9,Business,Private,High,Medium,No,Medium,,Low,Positive,Medium,67,Yes,7,Balanced,High,4,No,Neutral,No,No,Auditory,No,No,High,6,,A
22,,High School,30000,B,92,,8,Medicine,,High,High,Yes,High,Low,High,Neutral,Low,50,No,8,Unhealthy,Medium,5,,Positive,Yes,No,Visual,Yes,,Medium,6,Low,C
21,M,High School,75000,C,99,Low,17,Medicine,,Medium,High,No,High,Medium,Medium,,Low,63,No,4,Balanced,Low,4,No,Neutral,No,Yes,Visual,Yes,No,Low,4,Medium,B
19,M,Graduate,40000,,91,,,Law,Public,Low,Low,No,Medium,Low,Low,Neutral,High,47,Yes,,,Medium,10,No,Positive,Yes,No,Visual,Yes,No,Low,3,Medium,A
21,M,Some College,30000,B,78,Low,7,Law,Private,Low,Medium,Yes,High,Low,Low,Neutral,High,44,No,8,Balanced,High,4,Yes,Negative,Yes,,Auditory,No,No,Low,1,Low,A
22,F,Some College,75000,B,72,Medium,11,Law,Private,High,High,Yes,High,Medium,High,Negative,High,96,,4,Healthy,Medium,4,No,Positive,No,Yes,Visual,No,No,Low,5,High,
18,M,High School,30000,A,79,High,17,Medicine,Private,High,High,No,Medium,High,High,Negative,High,33,Yes,6,Healthy,Low,3,Yes,Negative,No,Yes,Auditory,No,No,Low,2,Low,B
22,F,College,50000,B,71,Medium,19,Law,Private,High,Low,Yes,Medium,Low,,Neutral,High,73,No,6,Balanced,High,4,No,Positive,,No,Visual,Yes,No,Low,2,Low,C
20,F,High School,50000,A,,Medium,9,Business,,,High,No,Low,Low,High,Negative,High,35,No,7,Healthy,Low,4,No,Negative,,No,Auditory,No,Yes,Medium,4,Medium,
21,M,,,C,75,High,9,Engineering,Public,Low,Low,No,Low,,High,Positive,High,77,Yes,6,Healthy,High,7,Yes,Neutral,No,No,Visual,Yes,Yes,High,2,High,A
20,F,Graduate,50000,,98,High,15,Arts,Private,Medium,High,Yes,Low,High,High,Positive,Low,21,No,6,Unhealthy,,8,Yes,Positive,,Yes,Kinesthetic,No,No,Medium,6,Medium,C
19,F,Some College,75000,B,94,Medium,16,Engineering,Private,Medium,Low,No,Medium,Medium,High,Negative,High,49,Yes,7,Balanced,,5,No,Negative,No,,Kinesthetic,No,,High,2,,C
22,F,Graduate,30000,,90,High,20,Business,Public,High,High,No,,,High,Negative,Low,52,Yes,6,Balanced,Low,5,,Positive,Yes,Yes,Kinesthetic,No,No,,4,Medium,B
18,M,High School,50000,B,95,Low,14,Law,Private,Low,High,No,High,High,Medium,Negative,,54,No,4,Healthy,High,2,No,Negative,Yes,Yes,Visual,Yes,Yes,Medium,4,High,B
20,,College,40000,B,81,Medium,14,Business,Private,Low,Low,,Medium,Medium,Low,Positive,Low,74,,5,Healthy,Medium,3,Yes,Neutral,No,Yes,Auditory,Yes,No,,4,Medium,A
22,M,College,30000,B,,High,18,Science,Private,Low,High,No,High,High,Medium,Neutral,Medium,77,Yes,5,Balanced,,8,No,Positive,Yes,No,Kinesthetic,No,No,High,6,Medium,B
,M,College,40000,A,82,Low,8,Law,Public,Low,Medium,,Low,Medium,Low,Neutral,Low,77,No,7,Balanced,Medium,2,Yes,Neutral,No,No,Visual,No,Yes,Low,1,Low,C
18,M,College,30000,C,,Low,11,Business,Public,High,,Yes,,Low,,Negative,Low,96,Yes,8,Balanced,High,,Yes,Neutral,Yes,Yes,Kinesthetic,No,Yes,Low,6,Medium,
21,F,High School,60000,,75,High,5,Law,Private,High,Low,Yes,High,Low,,Positive,High,31,Yes,9,Healthy,Low,10,No,Neutral,Yes,No,Visual,Yes,No,High,2,High,B
19,M,College,50000,B,82,High,13,Science,Private,Medium,Medium,Yes,Medium,Low,Medium,Neutral,Low,,No,5,Healthy,Medium,2,No,Neutral,Yes,Yes,Kinesthetic,No,Yes,Low,3,Low,C
18,F,College,60000,C,77,Medium,,Medicine,Private,Low,High,Yes,High,Low,High,Neutral,,82,No,6,Healthy,Low,8,Yes,Neutral,Yes,Yes,Visual,No,No,High,5,High,A
19,F,Graduate,,C,,Low,7,Arts,Private,Medium,High,No,Low,Low,,Negative,Low,,No,5,Healthy,High,2,Yes,Positive,,No,Auditory,Yes,Yes,Low,3,Medium,C
18,F,,40000,A,99,Medium,15,,Public,Low,Low,No,Medium,Medium,High,Neutral,High,71,Yes,7,Healthy,Medium,10,No,Positive,No,No,Auditory,,Yes,High,6,Medium,A
22,M,High School,30000,B,88,Low,15,Law,Public,Low,Low,Yes,High,Medium,Low,Positive,,34,No,7,Balanced,Low,4,No,Positive,Yes,Yes,Visual,No,,Medium,2,Medium,C
22,M,College,,C,82,Medium,14,Arts,,Low,High,,Low,High,Low,Neutral,High,38,Yes,,Unhealthy,Low,4,Yes,Negative,,Yes,Auditory,Yes,No,Medium,1,Low,
20,F,Some College,30000,A,82,Medium,13,Engineering,Public,,,Yes,Low,Medium,Low,Neutral,Low,22,Yes,8,,Medium,4,No,Negative,No,Yes,Kinesthetic,No,Yes,Medium,,,C
,M,College,60000,A,91,Medium,16,Business,Private,,Low,No,Low,High,High,Positive,Low,95,No,7,Unhealthy,Low,7,Yes,Positive,No,No,Kinesthetic,No,No,High,3,Medium,C
22,M,High School,75000,C,79,Medium,14,Engineering,Private,High,Low,Yes,High,Medium,High,Neutral,High,98,No,7,Balanced,High,2,No,Positive,Yes,No,Kinesthetic,,Yes,High,4,,B
21,F,High School,60000,C,92,Low,10,Science,Private,Low,High,Yes,Low,Medium,High,Negative,Medium,92,Yes,5,Unhealthy,Low,6,No,Negative,No,Yes,Kinesthetic,Yes,Yes,Medium,5,High,B
22,F,College,40000,A,85,Medium,11,Medicine,,Medium,Low,No,Medium,Medium,High,Neutral,Low,27,No,8,Unhealthy,High,,Yes,Negative,Yes,Yes,Auditory,Yes,Yes,High,6,High,C
18,M,High School,50000,C,92,High,8,Science,Public,Medium,High,Yes,Medium,,High,Neutral,Medium,92,Yes,4,Healthy,Medium,10,No,Negative,No,No,Visual,,Yes,Low,1,Medium,B
19,,Graduate,60000,,73,High,16,Science,Public,Medium,High,Yes,Low,High,,Neutral,High,52,No,6,Healthy,Low,,No,Negative,No,No,Auditory,Yes,No,Low,3,Medium,C
20,M,High School,75000,B,71,Low,11,Law,Public,Low,Medium,No,High,Low,Low,,Medium,41,No,9,Balanced,Low,9,Yes,Positive,No,Yes,Auditory,Yes,No,High,,High,C
19,M,Some College,75000,B,70,High,11,Law,Public,Medium,Medium,Yes,Medium,High,High,Neutral,High,89,No,4,Healthy,Low,9,No,Negative,No,Yes,Visual,Yes,Yes,Medium,3,Low,C
22,,College,30000,A,88,Low,12,Science,Private,Medium,Low,No,Low,High,Low,Negative,High,100,No,5,Healthy,Medium,8,Yes,Positive,Yes,No,Auditory,No,No,Medium,4,Low,B
22,F,Some College,50000,B,,Low,10,Arts,Private,Low,,Yes,Low,High,High,Neutral,High,72,No,6,Unhealthy,,9,No,,No,,,No,Yes,Medium,3,,C
19,M,High School,75000,A,86,Low,17,Business,Private,Low,Low,No,High,High,Low,Neutral,High,52,Yes,8,Balanced,Medium,3,Yes,Positive,Yes,No,Kinesthetic,Yes,No,High,2,Medium,A
19,M,High School,50000,A,91,,13,Engineering,,High,High,,High,High,Low,,High,80,,6,Healthy,High,3,No,Positive,Yes,Yes,Kinesthetic,Yes,No,Medium,1,High,
18,F,Graduate,50000,B,100,Low,19,,Public,Medium,High,No,High,High,High,Positive,Low,39,Yes,4,Balanced,Medium,6,No,Negative,Yes,Yes,Visual,Yes,No,Low,2,High,C
21,,,60000,A,87,High,12,Law,Public,Medium,Medium,Yes,High,High,Medium,Negative,Medium,,Yes,8,Unhealthy,Low,3,No,Negative,Yes,No,Auditory,No,Yes,High,5,Low,C
21,M,Some College,50000,C,,Medium,14,Engineering,Public,,High,Yes,Medium,Medium,Low,Negative,Medium,,No,5,Healthy,Low,9,No,Negative,No,,Visual,,No,,4,Medium,C
22,F,High School,50000,B,88,Medium,10,Business,Private,Low,Medium,Yes,Low,High,Low,,High,59,No,7,Balanced,Low,8,Yes,Negative,No,No,Kinesthetic,No,Yes,Low,2,,A
